tag_id,qid,qt_id
74dd7c44-d969-483e-88e6-d51ab3d4192d,a7f5643d-b675-459d-9713-95fae4f730c5,005b0ce8-84c3-40e7-ac68-a2ab3a05dfce
713780aa-7cb0-4e32-9ae2-ed1b6eb706b4,11556653-a143-4571-bff2-a87a249b0ed3,17587bff-7e1f-4b4c-a0ac-15e0def6857e
3194e148-9d0c-41fe-8557-44d6847c2b2b,a4e8b479-09d9-4b73-805b-a15293d38f31,66ee6983-bbcc-4675-a33d-c76bb816a38c
517b9096-5db6-4f9b-b6ad-44d5076770e2,d33f68b2-7a96-4070-aee3-060f7b7c9784,6e2c0428-6865-4d0a-89c8-944e80cb8457
08b83bf0-5e09-491a-9a16-f9ba65c0ea34,a4e8b479-09d9-4b73-805b-a15293d38f31,7944cd4d-deab-4813-8a3d-f73b59edfcff
6547a6c9-f037-49df-9690-230325a62c60,a4e8b479-09d9-4b73-805b-a15293d38f31,9fdfa427-6eca-4fe6-b5aa-f0ab7cd7df4e
22562942-7b30-4446-878f-31a8f1976aac,830ea248-64ce-4f59-8b72-37ee3ca689e1,e1f9aea2-80eb-45dd-b4df-670d4afaa584
283960e3-d03c-4f59-be85-fe2c1ee8fc7d,bb01266a-4ff6-43b5-aab0-e864a783fa02,eb0d956b-be25-4912-9663-aa73c47d44c1
51c26c51-f0d5-471a-b2fb-fdcf4ff84d12,830ea248-64ce-4f59-8b72-37ee3ca689e1,f4511777-9170-4899-9fb9-cae1a3390b1b
676132f9-f096-4ee3-98e6-0af366e6358b,4397be09-d633-4002-9927-d213bf75620b,f698c8c0-6fe5-4381-9736-91636425870b
